1.687,0.445,2
1.687,0.449,2
1.687,0.449,2
1.687,0.449,2
1.687,0.449,2
1.686,0.446,2
1.684,0.451,2
1.680,0.453,2
0.753,0.457,3
0.744,0.462,3
0.735,0.467,3
0.729,0.469,3
0.723,0.477,3
0.757,0.480,3
0.760,0.483,3
0.757,0.482,3
0.761,0.482,3
0.762,0.482,3
0.765,0.482,3
0.812,0.481,3
0.814,0.480,3
0.811,0.479,3
0.908,0.478,2
1.270,0.477,2
1.639,0.476,2
1.638,0.475,2
1.637,0.474,2
1.636,0.475,2
1.635,0.475,2
1.635,0.475,2
1.635,0.475,2
1.635,0.475,2
1.633,0.475,2
1.629,0.474,2
1.624,0.473,2
1.618,0.473,2
1.611,0.473,2
1.609,0.472,2
1.603,0.471,2
0.576,0.471,3
1.581,0.471,2
1.572,0.471,2
1.562,0.470,2
1.553,0.470,2
1.179,0.470,2
1.167,0.470,2
1.159,0.471,2
1.151,0.471,2
1.143,0.471,2
1.136,0.471,2
1.128,0.472,2
1.477,0.472,2
1.129,0.473,2
1.457,0.473,2
1.448,0.474,2
1.438,0.475,2
1.428,0.486,2
1.418,0.485,2
1.409,0.486,2
1.399,0.485,2
1.390,0.486,2
1.380,0.487,2
1.370,0.489,2
1.361,0.491,2
1.354,0.494,2
1.344,0.496,1
1.330,0.498,1
1.320,0.499,1
1.310,0.501,1
1.298,0.504,1
1.285,0.507,1
1.271,0.511,1
1.256,0.515,1
1.239,0.520,1
1.223,0.525,1
1.206,0.530,1
1.188,0.535,1
1.170,0.541,1
1.152,0.548,1
1.133,0.554,1
1.114,0.560,1
1.094,0.567,1
1.075,0.573,1
1.056,0.580,1
1.037,0.586,1
1.019,0.593,1
1.001,0.599,1
0.983,0.606,1
0.966,0.612,1
0.948,0.619,1
0.931,0.625,1
0.914,0.632,1
0.898,0.638,3
0.881,0.645,3
0.864,0.652,3
0.847,0.658,3
0.830,0.660,3
0.815,0.662,3
0.801,0.667,3
0.792,0.670,3
0.792,0.665,3
0.795,0.666,3
0.796,0.665,3
0.796,0.665,3
0.796,0.665,3
0.799,0.664,3
0.799,0.664,3
0.798,0.664,3
0.799,0.664,3
0.798,0.663,3
0.797,0.666,3
0.792,0.671,3
0.791,0.684,3
0.790,0.674,3
0.789,0.660,3
0.788,0.660,3
0.787,0.659,3
0.786,0.661,3
0.785,0.665,3
0.788,0.717,3
0.787,0.833,3
0.790,0.779,3
0.814,0.668,3
0.807,0.809,3
0.786,0.805,3
0.785,0.804,3
0.787,0.854,3
0.791,0.800,3
0.794,0.786,3
0.814,0.780,3
0.880,0.776,3
1.593,0.774,1
1.593,0.770,1
1.593,0.765,1
1.593,0.765,1
1.592,0.763,1
1.591,0.763,1
1.590,0.763,1
1.588,0.763,1
1.586,0.758,1
1.576,0.759,1
1.566,0.753,1
1.555,0.751,1
0.932,0.745,1
1.525,0.739,1
1.508,0.733,1
1.494,0.727,1
1.473,0.721,1
1.454,0.715,1
1.438,0.707,1
1.419,0.700,1
1.399,0.694,1
1.379,0.690,1
1.358,0.683,1
1.338,0.673,1
1.317,0.666,1
0.891,0.663,3
1.276,0.652,1
1.255,0.645,1
1.233,0.638,1
1.212,0.627,1
1.193,0.623,1
1.174,0.613,1
1.156,0.607,1
1.138,0.600,1
1.121,0.594,1
1.105,0.588,1
1.089,0.582,1
1.074,0.576,1
1.058,0.570,1
1.043,0.564,1
1.026,0.562,1
1.009,0.555,1
0.989,0.549,1
0.733,0.539,3
0.711,0.540,3
0.679,0.530,3
0.658,0.521,3
0.650,0.515,3
0.644,0.509,3
0.639,0.504,3
0.860,0.504,3
0.859,0.496,3
0.861,0.491,3
0.865,0.491,3
0.865,0.491,3
0.865,0.490,3
0.865,0.490,3
0.865,0.489,3
0.865,0.488,3
0.868,0.487,3
0.867,0.486,3
0.870,0.485,3
0.869,0.485,3
0.740,0.484,3
0.740,0.483,3
0.861,0.482,3
0.859,0.480,3
0.857,0.478,3
0.853,0.477,3
0.850,0.475,3
